Player;Tm;2018-19;2019-20;2020-2021;2021-2022;2022-2023;2023-2024;Signed Using;Guaranteed
C.J. Miles;TOR;$8,333,333;$8,730,158;;;;;MLE;$8,333,333
Shaun Livingston;GSW;$8,307,692;$7,692,308;;;;;Bird Rights;$10,307,692
Deandre Ayton;PHO;$8,165,160;$9,562,920;$10,018,200;$12,632,950;;;1st Round Pick;$17,728,080
Lou Williams;LAC;$8,000,000;$8,000,000;$1,500,000;;;;Cap Space;$16,000,000
Garrett Temple;MEM;$8,000,000;;;;;;Cap Space;$8,000,000
P.J. Tucker;HOU;$7,969,537;$8,349,039;$7,969,537;;;;MLE;$18,887,764
Cory Joseph;IND;$7,945,000;;;;;;Cap Space;$7,945,000
JaMychal Green;MEM;$7,866,667;;;;;;Bird Rights;$7,866,667
Karl-Anthony Towns;MIN;$7,839,435;$27,250,000;$29,430,000;$31,610,000;$33,790,000;;1st round pick;$163,409,435
Kyle Korver;UTA;$7,560,000;$7,500,000;;;;;Bird Rights;$11,000,000
Jeremy Lamb;CHO;$7,488,372;;;;;;Rookie scale extension;$7,488,372
Darrell Arthur;PHO;$7,464,912;;;;;;;$7,464,912
Lonzo Ball;LAL;$7,461,960;$8,719,320;$11,003,782;;;;1st Round Pick;$16,181,280
Doug McDermott;IND;$7,333,334;$7,333,334;$7,333,333;;;;;$22,000,001
Jae Crowder;UTA;$7,305,825;$7,815,533;;;;;Bird Rights;$15,121,358
Marvin Bagley;SAC;$7,305,600;$8,556,120;$8,963,640;$11,312,114;;;1st Round Pick;$15,861,720
D.J. Augustin;ORL;$7,250,000;$7,250,000;;;;;Cap Space;$14,500,000
Dewayne Dedmon;ATL;$7,200,000;;;;;;Cap space;$7,200,000
Lance Thomas;NYK;$7,119,650;$7,583,975;;;;;Cap Space;$7,119,650
D'Angelo Russell;BRK;$7,019,698;;;;;;1st round pick;$7,019,698
Langston Galloway;DET;$7,000,000;$7,333,333;;;;;MLE;$14,333,333
Davis Bertans;SAS;$7,000,000;$7,000,000;;;;;Early Bird Rights;$14,000,000
Ersan Ilyasova;MIL;$7,000,000;$7,000,000;$7,000,000;;;;MLE;$14,000,000
Boban Marjanovic;LAC;$7,000,000;;;;;;Cap Space;$7,000,000
Al-Farouq Aminu;POR;$6,957,105;;;;;;Cap Space;$6,957,105
Jayson Tatum;BOS;$6,700,800;$7,830,000;$9,897,120;;;;1st Round Pick;$14,530,800
Luka Doncic;DAL;$6,560,640;$7,683,360;$8,049,360;$10,174,391;;;1st Round Pick;$14,244,000
Nemanja Bjelica;SAC;$6,500,000;$6,825,000;$7,150,000;;;;;$13,325,000
Mario Hezonja;NYK;$6,500,000;;;;;;MLE;$6,500,000
Ben Simmons;PHI;$6,434,520;$8,113,930;;;;;1st Round pick;$14,548,450
Milos Teodosic;LAC;$6,300,000;;;;;;MLE;$6,300,000
Wayne Ellington;MIA;$6,270,000;;;;;;;$6,270,000
Marco Belinelli;SAS;$6,153,846;$5,846,154;;;;;MLE;$12,000,000
Wesley Johnson;NOP;$6,134,520;;;;;;Cap Space;$6,134,520
Josh Jackson;PHO;$6,041,520;$7,059,480;$8,930,242;;;;1st Round Pick;$13,101,000
Montrezl Harrell;LAC;$6,000,000;$6,000,000;;;;;;$12,000,000
Jonathon Simmons;ORL;$6,000,000;$5,700,000;;;;;Cap space;$7,000,000
Ish Smith;DET;$6,000,000;;;;;;Cap Space;$6,000,000
Jaren Jackson;MEM;$5,915,040;$6,927,480;$7,257,360;$9,180,560;;;1st Round Pick;$12,842,520
Brandon Ingram;LAL;$5,757,120;$7,265,485;;;;;1st Round pick;$13,022,605
Anthony Tolliver;MIN;$5,750,000;;;;;;MLE;$5,750,000
Kristaps Porzingis;NYK;$5,697,054;;;;;;1st round pick;$5,697,054
Deron Williams;BRK;$5,474,787;$5,474,787;;;;;;$10,949,574
De'Aaron Fox;SAC;$5,470,920;$6,392,760;$8,099,627;;;;1st Round Pick;$11,863,680
Ben McLemore;SAC;$5,460,000;;;;;;MLE;$5,460,000
Alex Abrines;OKC;$5,455,236;;;;;;Cap Space;$5,455,236
